,CHMP5,IFT46,CEACAM7,RRAGD,HSF2,GABARAPL2,GPBP1,SCAMP1,ZFAND6,CPPED1,GDAP1,LEPROTL1,RPA3,SLAIN2,TDP2,NUDT12,NME5,PDCD10,C3orf14,GCA,SPCS2,CRIPT,LRP11,ZNF639,LIAS,CENPK,NDFIP1,PCBD2,C12orf29,TMEM60,KIAA0319,C17orf80,CISD2,ATG12,POLR2K,MBIP,CETN3,ZNF599,AGPAT5,CBR1,SLC16A14,SAP30,TMEM161B,CMBL,NDUFS4,ANKRA2,LMBRD1,MMADHC,ANKRD49,COMMD8,TMEM154,FRMD3,RGMB,TMEM9B,AP3S1,PSTK,MRPS23,WRB,SKA2,PSMG1,ZFP1,ANKRD37,LYRM7,KCNMB2,ZNF468,C9orf135,MLLT11,MRPL33,RBM5,MED24,TRAM2,OTUD5,POLR1A,ZFYVE26,ACADVL,EVC,ZZEF1,ANKRD13A,ARAF,BCORL1,SH3BP1,MICALL1,BRD1,PCIF1,RAPGEF1,CAMTA2,RBM19,HIVEP3,PNKD,DHX30,MYBBP1A,PELP1,FOXK1,PITPNA,ERN1,PFAS,FNBP1,SLC29A3,B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory_(Tregs),T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
S00831,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.0174788284449359,0,0.155398489345425,0.0115462851921366,0,0.074998380460069,0.0427244735558395,0.0518285824409568,0.0600131762047919,0.0860907955317231,0,0.0238382174371753,0,0.169236934979688,0.135953209649609,0.0981696532269854,0,0.0496409350122777,0.0210856545183211,0,0,0.00199638400006521
S00832,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0.0185868789182788,0,0.0190661103341109,0.0339452599139823,0,0.0852723831586991,0.0283933877038897,0,0,0.0137743971265112,0,0.086512202987557,0.00230058751337989,0.1590140733336,0.0725035836317429,0.252494703070238,0,0.00811948439761098,0,0.21055553978033,0,0.00946140813006946
S00837,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.101033414370834,0.123305003536199,0.0268206864248937,0,0.119781071129804,0.0692025834220137,0,0,0.025309161517053,0,0.018153138972055,0,0.242641547481911,0.151983131758537,0.0754828169200487,0.0105137980469306,0,0.0357736464197209,0,0,0
S00838,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.0340390946779968,0,0.275042788398183,0.00852571331483197,0,0,0.0441756758725442,0,0,0.0103561236677266,0,0.0980714163439168,0.00466422661089096,0.126761450795816,0,0,0.385517465367068,0,0.0128460449510255
S01366,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0.00158525277457823,0,0.529064207750574,0,0,0.107495659993176,0,0.0322637363987089,0,0.0402340018104145,0,0.0901737331928148,0,0.0611353147437904,0,0.0904637078511248,0,0.000108338469269571,0,0.0368701630081748,0,0.0106058840073737
S01494,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0382372945972599,0,0.19808857579801,0.0287674676707052,0,0.0733902570577056,0,0,0.051483947852435,0.0186521928290366,0,0.0463479061538735,0.0393241628347578,0.331336480548028,0.0841314103934896,0.0550668205472155,0,0,0,0.0351734837174836,0,0
S01512,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.00177683901606932,0,0.277774570901639,0.0229051123249706,0,0.0610789379185428,0.0163955380645123,0.0496776082589153,0,0.187915702632855,0,0.110334553544896,0,0.0832618787805541,0.0943435384147039,0.0280987687039762,0,0.0205763209185983,0,0.0437525546836885,0,0.002108075836078
S01524,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00506541368979986,0,0.385131379965127,0.0838124329739319,0,0.120789503698706,0.00107281857966158,0.00244348427815408,0,0.174640762628351,0,0.00476634827511789,0,0.0625735649934858,0.0998348947348133,0.0080263971886586,0,0,0.0518429989941926,0,0,0
S01542,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0.000587980733195608,0.0820200713887509,0.111188803728658,0,0.210846275505838,0.0154045619190327,0.0546020068214214,0.00203447605774478,0.122272617366092,0,0.0389241513912698,0,0.0540272882705363,0.235584351731506,0.0308778622627164,0,0.0042895528849137,0,0.0373399999383243,0,0
S01578,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.0334445820305676,0.0698838601341736,0.169955817359453,0,0,0.106122170751739,0.0244557814797339,0,0.339003021310029,0,0.0934055286499528,0,0.0115274064571395,0.123506761534821,0.0112294781331161,0.00971883850996509,0,0,0.00774675364930989,0,0
S01728,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0.0414465636463623,0,0.207454237871965,0.0468586820861592,0,0.087578598437777,0,0.0281602202207032,0.0403624042078018,0.0401879656905505,0,0.0489504362768335,0,0.186982232731693,0.102368631534369,0.0296722231219101,0.0393984619367558,0,0,0.100579342237119,0,0
S01861,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.00794086244522057,0,0.267865126169411,0.0379422784751166,0,0.161969008452024,0.068250774792591,0.0312907187094741,0,0.111993098459515,0,0.0572104295989901,0,0.078872077953732,0.118384621305461,0.0247006086512589,0.00825285334850476,0,0,0.0253275416387017,0,0
S01864,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0.115477961231292,0.116682450067234,0.0682482374130618,0,0.0872351705487258,0.0379306800744528,0.0645197661856625,0.0527380017376483,0.0766302242443501,0,0.0312854389184747,0,0.157902629087098,0.114771307918716,0.052614734442161,0.0239633981311225,0,0,0,0,0
S01873,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0.0509340667245275,0.0517798185992848,0,0.100268031325972,0.0947215698227423,0.0313998785670401,0,0.126679302187184,0,0.0553505788322092,0,0.21957937758721,0.112769365008964,0.0899069657716401,0.00791252464640906,0,0,0.0553988215779235,0,0.00329969934889409
S02065,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0167105469200445,0,0.172370042993749,0.0734803446914327,0,0.0300625981499809,0.19752369491037,0.0503056346749165,0,0.177139816925166,0,0.0470070413343368,0,0.0349132228781375,0.120031491874802,0.0150911562548733,0.0221902940058092,0,0,0.0431741143863825,0,0
S02093,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0.0719551738600273,0.253762685396535,0.0356423748480061,0,0.215321833461086,0.0770686662609963,0.0152771776338316,0,0.0342096902867399,0,0.0114269851765019,0,0.121282944762723,0.0940037862640467,0.02195284147305,0.00918848352271212,0,0,0.0364407404245993,0,0.00246661662914519
S02120,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0.377110374267237,0.0294664620606034,0,0.0907322964515827,0.113090203132064,0.0179480932604965,0,0.0442516105594033,0,0.0609574447732947,0,0.0464474389350258,0.0674303376134296,0.104926202606181,0.00248978853707354,0,0,0.0442781315308703,0.000427218201410191,0.000444398071327433
S02139,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0.0943968908498762,0.0480790646688087,0,0,0.121027618183802,0,0,0,0.167495675466084,0,0,0,0.275587834657057,0.163830991028118,0.107312279231508,0,0.0080326768045991,0.0142369691101472,0,0,0
S02194,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0420494515621411,0,0.0110120938330705,0,0,0.0898130661184637,0,0.00318406657047853,0.018449307212889,0.0536412739822374,0,0.0327074395471263,0.0386009669748239,0.331923492005526,0.0587169032287534,0.190379526758262,0,0,0,0.102733698499311,0,0.0267887137069167
S02209,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0.0932225969428223,0.0608220200186502,0,0.264275906422035,0.0593512764743005,0.0358022262799926,0,0.167460855312532,0,0.0375703771644916,0,0.00654553739385287,0.140849080929841,0.0505694801502931,0.0340635149753649,0,0.0374194374854947,0,0.00486474399952411,0.00718294645080551
S02234,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0.0491584455803349,0.0015795868059223,0.109571621481435,0.0157780166094129,0,0.0941175289097843,0.0143278509552427,0.0238483526232567,0.036041255916538,0.0324669355645601,0,0.0384705563482523,0,0.299642954429338,0.0490288449980203,0.177014083999674,0,0,0.0561928208452934,0,0,0.00276114493293475
