,CHMP5,IFT46,CEACAM7,RRAGD,HSF2,GABARAPL2,GPBP1,SCAMP1,ZFAND6,CPPED1,GDAP1,LEPROTL1,RPA3,SLAIN2,TDP2,NUDT12,NME5,PDCD10,C3orf14,GCA,SPCS2,CRIPT,LRP11,ZNF639,LIAS,CENPK,NDFIP1,PCBD2,C12orf29,TMEM60,KIAA0319,C17orf80,CISD2,ATG12,POLR2K,MBIP,CETN3,ZNF599,AGPAT5,CBR1,SLC16A14,SAP30,TMEM161B,CMBL,NDUFS4,ANKRA2,LMBRD1,MMADHC,ANKRD49,COMMD8,TMEM154,FRMD3,RGMB,TMEM9B,AP3S1,PSTK,MRPS23,WRB,SKA2,PSMG1,ZFP1,ANKRD37,LYRM7,KCNMB2,ZNF468,C9orf135,MLLT11,MRPL33,RBM5,MED24,TRAM2,OTUD5,POLR1A,ZFYVE26,ACADVL,EVC,ZZEF1,ANKRD13A,ARAF,BCORL1,SH3BP1,MICALL1,BRD1,PCIF1,RAPGEF1,CAMTA2,RBM19,HIVEP3,PNKD,DHX30,MYBBP1A,PELP1,FOXK1,PITPNA,ERN1,PFAS,FNBP1,SLC29A3,B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory_(Tregs),T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
SRR1797245,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208565945273676,0,0.169179189416373,0.0949391798111184,0,0.120881470758723,0.0020605005525585,0,0.103896821137055,0,0.147199222325096,0,0.012206431693346,0.0745858313302099,0.0144880005900505,0.00325007336266026,0,0.0156676569962877,0,0.0330796767528462,0,0
SRR1797247,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0.15744587416864,0,0.0977926303793577,0.0767692138130104,0,0.199004555039329,0.0812142576302576,0,0.00910831817986573,0,0.148894712434151,0,0.00788846544361196,0.0144766085236498,0.0129495435400587,0,0.105662715305829,0,0,0.08879310554224,0,0
SRR1797249,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0.13132857065521,0,0.0259136060370861,0.11846599540798,0,0.338972256876674,0,0.0325238586442786,0.0674499440518957,0,0,0.0431801076401426,0.0208896476455036,0.051008729580704,0.0542025071752351,0.100676996177963,0.00811375369752458,7.8638227097891e-05,0,0.00719538818270464,0,0
SRR1797250,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0.223033261757921,0,0.051512079236959,0.0806707717420963,0,0.27784506021289,0.0791701164162365,0.0210924241146027,0.0046608122842344,0,0,0.00765593375708836,0,0.0421315922678464,0.0215468158188084,0.063205917065469,0.0780097006376297,0,0.0348461948623075,0,0,0.0146193198259108
SRR1797251,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.134075621826853,0,0.04260127135461,0.124465380390412,0,0.380974465888314,0.000927283273552208,0,0,0,0.0486370790655246,0,0,0.0317596014379699,0.0564204354292572,0.0979454748685784,0.00826226145861397,0.0014825480878007,0,0.0724485769185139,0,0
SRR1797255,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0.277095885580169,0,0.0965427385348404,0.242485185284934,0,0.198003585774611,0,0.00604685354078962,0,0,0,0,0.00914713421117467,0.119511870589514,0.0335525380095429,0,0,0,0.0132937074084275,0,0.00432050106599661,0
SRR1797256,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0.104853445727008,0,0,0.12812884649841,0.162413847507852,0.149316617711163,0,0,0.08942526286992,0.0361093349736471,0,0.0590881862672658,0,0,0,0.233139967756552,0,0,0.0266563984338529,0,0.0108680922543282
SRR1797258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0.20638418168713,0,0.11834899083845,0.147693805778744,0,0,0.113291972503989,0.0875337527748855,0,0,0.0826600098776125,0,0.0238279003742997,0.150971654576638,0.0629244763641261,0,0.00636325522412355,0,0,0,0,0
SRR1797259,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0.0461756868016384,0.039438645263572,0.121828511676759,0.141004691028374,0.199020161260467,0,0,0.0421455455931576,0,0.0602295189406609,0,0,0,0.162072431169045,0,0,0,0.0252137823056479,0,0.132081753831967,0,0.0307892721287111
SRR1797261,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.242539179323692,0,0.128926118095015,0.0159765818809217,0,0.194604486002486,0,0.0367546616826608,0.0780468945604691,0,0.0888182595493885,0,0.0296170228987794,0.00453957957842579,0.0275672009624382,0,0.106439742174688,0.000250450670198418,0,0.0289182338826813,0.0170015887381548,0
SRR1797257,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0.303672083159051,0,0.0667117612125916,0.0989086418104133,0,0.15156251000681,0.0547695571724927,0.0484751115356418,0,0,0.108356959097412,0,0.0209158446171933,0.0521294922596622,0.0166066837313785,0,0.0666257424842643,0,0,0.0112656129130897,0,0
SRR1797263,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0.206483156884793,0,0.100815183738464,0.124802360660469,0,0.262334080573221,0.0182756665876919,0.0933834225535663,0.012638597081969,0,0.100627049893004,0,0.00797872485031495,0.0236518762902449,0.0160421990097959,0.00867970085887659,0,0,0,0.0242879810175903,0,0
SRR1797264,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.325591794462686,0.13994588025003,0.0866755375504258,0,0.0491689617604311,0.020801384546509,0.22999682115097,0,0,0.0983273007341113,0,0.000295460761155792,0,0,0,0,0.0230468483620923,0.0230537056618405,0,0.00309630475974879,0
SRR1797266,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0.17911522826005,0,0.146586023086372,0.00296818787771433,0,0.321974257427398,0.0829598479862286,0,0.00608589324890105,0.0611375051097623,0.080115023311949,0,0.0207701103106189,0.0671172889196289,0.0219246052933561,0,0.00924602916802072,0,0,0,0,0
SRR1797267,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.215123369151238,0,0,0.127874847755188,0,0.0398648700611946,0.0452898121667778,0.0532948898468842,0.136642853954184,0,0.041045503203951,0,0.0462685168089452,0.0172887044876051,0.0226887473530948,0,0.164898375573052,0,0,0,0.0786751774571416,0.0110443321807425
SRR1797268,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0.159530033670542,0,0.0247897182721597,0,0.233537056166786,0,0.0553596287818659,0,0,0.0955172083629405,0,0,0.0464322797771117,0.00496503656876566,0,0,0.151400118301649,0.00948549820853496,0.129591005415597,0,0.0893924164740476,0
SRR1797269,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0.206784645150025,0,0.033717685740352,0.136858170260397,0.0530559020222183,0,0.114861545771404,0.0630151217718405,0.03787160649274,0,0.115570077496872,0,0.0150693678214692,0.0626324490324989,0,0,0.0329814656685802,0.0526735671817223,0,0.0749083955898817,0,0
SRR1797270,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0.166569594251889,0,0.0647287588261899,0,0,0.157416396240772,0.241502877459059,0,0,0.0374870444925438,0.0213100153732915,0,0.0426468702488314,0.00236635059559267,0.0287010120973314,0,0.165330122819332,0,0.049224315387238,0,0,0.0227166422079291
SRR1797265,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0.303387841801234,0,0.101850574836771,0.199174416931676,0,0.116963835121708,0.000387883961046615,0.0552057766840823,0.039592074243785,0,0.06340961247528,0,0.0300702300578107,0.0165273088768473,0.0144215001839664,0.0122158390737849,0,0.0118184746848075,0,0.0195138962647874,0.0154607348024136,0
SRR1797272,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.131755045532928,0,0.0603698343114254,0,0,0.406694972679266,0.0608918595802198,0,0,0.12711362939567,0.0165364504694197,0,0,0.0736260609632305,0.00156077903173465,0.0218204608782559,0,0.0382038603504856,0,0.061427046807364,0,0
SRR1797278,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0.18665865435599,0.0429465841412797,0,0,0.255554206273307,0.028850352929356,0.0861518594490382,0,0.0369270058926175,0.0308828171536216,0,0.00301795276159326,0.0900582292485112,0.19874358717094,0,0.0064351373638199,0,0.0218283206121663,0,0.0119452926477597,0
SRR1797284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.159058675863066,0,0.0336047261855053,0.0548142412060636,0,0.524367052007761,0,0,0,0,0.104221388684311,0,0.0217944450547287,0.010001188855337,0.0018872281548913,0,0,0.00237715215494876,0,0.0840890791969029,0.00378482263648409,0
SRR1797286,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0.25018872361285,0,0.0398472701363491,0.0268011798314895,0,0.286707396855974,0,0,0,0,0.187639609549317,0,0.0275920675760358,0.0840022396471297,0,0,0,0.0105432534238245,0,0.0758409586295522,0.0108373007374773,0
SRR1797288,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302445355828847,0,0.0578057507645491,0,0,0.294996939813321,0,0.135191442961831,0,0,0.0328314179565228,0,0.0124720370456143,0.0492530556076702,0,0,0.0646413325816314,0.0441298187595507,0.00623284868046124,0,0,0
SRR1797283,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0365526025604075,0,0.134946097046266,0,0,0.24041078948232,0.261123686580283,0,0,0,0.0891270356429891,0,0,0.0789928581488422,0,0.0576590015956692,0,0.0998591539698318,0,0,0.00132877497339145,0
SRR1797285,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00287182887259035,0,0,0,0.189950991318681,0.195195553845236,0,0.0431431891313864,0,0.111280626367462,0.161550600671757,0,0.187836981752117,0.0108938880380953,0,0,0,0.0187287775624882,0,0.0217983712324862,0.056749191207701,0
SRR1797290,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0.338809730253187,0,0.0333490890447942,0,0,0.2688401671924,0,0.0273472275699992,0,0,0,0.0217469490559247,0.0217997350599882,0.0234007530934147,0,0.165326059558981,0,0.0734935362737669,0.00410020163609561,0.0217865512614474,0,0
SRR1797291,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0.192965948649413,0,0.102249652506597,0.0540453147499765,0,0.440869513991567,0,0,0,0.0110845005011437,0.029279216165586,0,0.00492341746812732,0.0134736585639125,0.0246299375147195,0,0.100615101926525,0,0,0.0258637379624333,0,0
