,CHMP5,IFT46,CEACAM7,RRAGD,HSF2,GABARAPL2,GPBP1,SCAMP1,ZFAND6,CPPED1,GDAP1,LEPROTL1,RPA3,SLAIN2,TDP2,NUDT12,NME5,PDCD10,C3orf14,GCA,SPCS2,CRIPT,LRP11,ZNF639,LIAS,CENPK,NDFIP1,PCBD2,C12orf29,TMEM60,KIAA0319,C17orf80,CISD2,ATG12,POLR2K,MBIP,CETN3,ZNF599,AGPAT5,CBR1,SLC16A14,SAP30,TMEM161B,CMBL,NDUFS4,ANKRA2,LMBRD1,MMADHC,ANKRD49,COMMD8,TMEM154,FRMD3,RGMB,TMEM9B,AP3S1,PSTK,MRPS23,WRB,SKA2,PSMG1,ZFP1,ANKRD37,LYRM7,KCNMB2,ZNF468,C9orf135,MLLT11,MRPL33,RBM5,MED24,TRAM2,OTUD5,POLR1A,ZFYVE26,ACADVL,EVC,ZZEF1,ANKRD13A,ARAF,BCORL1,SH3BP1,MICALL1,BRD1,PCIF1,RAPGEF1,CAMTA2,RBM19,HIVEP3,PNKD,DHX30,MYBBP1A,PELP1,FOXK1,PITPNA,ERN1,PFAS,FNBP1,SLC29A3,B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory_(Tregs),T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
SRR1797229,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0.34692919111003,0,0.0512316008877933,0,0.13491766233369,0.159248770609005,0,0,0,0,0.140714623196141,0,0.009385214134905,0.00641849473131058,0,0,0.00558270725606764,0,0,0.0653975190540661,0.0801742166869905,0
SRR1797232,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0.320487135661468,0,0.0069996757971628,0,0.104925400863181,0.00583839404029716,0.031687479446002,0,0.0244373497897756,0,0.163901231609459,0,0,0.0315231873194829,0,0,0.0285968857030435,0.234792831129506,0.0468104286406221,0,0,0
SRR1797237,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0.184764812734038,0,0.0800342678800053,0.00559941429008729,0,0.61107989745131,0,0,0,0,0.0524024885020755,0,0.0305010736360467,0,0,0.00357245799827243,0,0.0290409405346964,0,0,0.00300464697346811,0
SRR1797233,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0.25097626280977,0,0.164019943159844,0.159298510386426,0,0.138186983921717,0,0,0.0542622732634288,0,0.0431532919554097,0,0.0323190501866253,0.0870702092218222,0.0661157912385185,0.00390910163177749,0,0.000688582224661261,0,0,0,0
SRR1797234,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.160736160104047,0,0.021326654448512,0.154875767258778,0,0.301737907439036,0.0243719310981591,0.0543831503132151,0.0319277137194562,0,0.0826900739080576,0,0.0415974654406464,0.0104836526629066,0.0608016379537092,0.00387148973800267,0.0283666237574095,0,0,0.0130661262916087,0.00976364586645538,0
SRR1797238,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.177375435983528,0.111654155226716,0.19216097820212,0.0149109119042554,0.0960942858210605,0,0.0873056360141316,0.0410705496601156,0,0.0207252440249209,0,0.068573600427354,0,0.0191141647971173,0,0.024755790344181,0,0,0.129198668896504,0.0170605786979957,0
SRR1797239,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0.152761526510512,0,0.0430770345438395,0.0232994274741721,0,0.442939543627396,0.0155001822647385,0.0437266025783419,0.0307079617609714,0,0.0699086202688168,0,0.0187551305271131,0.0133739808547461,0.0184292696930483,0.0726880888709056,0.00201093580174006,0.0114217113012688,0,0.0370298814679887,0.00437010245440055,0
SRR1797241,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.125989577859059,0,0.0874991142993074,0.0676272446832765,0,0.250330379266988,0,0.0955931814718112,0,0,0.135445511083429,0,0.0162853055387244,0,0.0428466271471352,0.071289878659177,0,0.00620918418275885,0,0.0784551118057171,0.0224288840026163,0
SRR1797243,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.188034287280184,0,0.0305475422063512,0,0,0.205844341502283,0,0.141754772911918,0,0.0862475445164026,0.114682238425672,0,0.0136187906541454,0.00883728824392259,0.0102128668436863,0,0,0.0504392435308368,0,0.105773615256576,0.044007468628022,0
SRR1797244,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0.282625157048677,0,0.232420795815591,0.1372970620063,0,0.180560219731497,0,0.0361234584088552,0,0,0,0,0.0152496089092224,0.114323695608809,0,0,0,0,0,0,0.00140000247104887,0
